domain,name,industry,numemployees
alderwoodfintech.com,ALDERWOOD FINTECH,Fintech,32
anchorpointsaas.com,Anchorpoint SaaS,SaaS,10
bluepeakventures.com,Bluepeak Ventures,Venture Capital,147
brightlineanalytics.com,Brightline Analytics,IT Services,28
cascaderevops.com,Cascade RevOps,Software,42
clarionanalytics.com,Clarion Analytics,IT Services,126
cobaltreach.com,COBALT REACH,Marketing Services,14
copperlineit.com,Copperline IT Services,IT Services,15
driftwoodsaas.com,Driftwood SaaS,SaaS,164
everlinetech.com,Everline Technologies,Software,34
fernwooddata.com,Fernwood Data Systems,IT Services,18
harborviewsoftware.com,Harborview Software,SaaS,20
ironwoodfintech.com,Ironwood Fintech,Fintech,62
kestrelit.com,KESTREL IT SERVICES,IT Services,43
lumen8marketing.com,Lumen8 Marketing,Marketing Services,60
meridiangrowthpartners.com,Meridian Growth Partners,Marketing Services,18
northfielddata.com,NORTHFIELD DATA CO,IT Services,31
onyxbridgefintech.com,Onyxbridge Fintech,Fintech,4774
palmettosaasgroup.com,Palmetto SaaS Group,SaaS,43
pinehollowsoftware.com,Pinehollow Software,SaaS,97
quantarasoftware.com,Quantara Software,SaaS,1829
redshiftcommerce.com,Redshift Commerce,Ecommerce,9
ridgelinecommerce.com,Ridgeline Commerce,Ecommerce,110
sableridgeanalytics.com,Sable Ridge Analytics,IT Services,45
solsticegrowthlabs.com,Solstice Growth Labs,Marketing Services,13
stonegateecom.com,Stonegate Ecommerce,Ecommerce,20
truenorthecom.com,Truenorth Ecommerce,Ecommerce,27
vectorcloudsystems.com,Vector Cloud Systems,IT Services,10
wavecrestit.com,Wavecrest IT Services,IT Services,74
zenithmarketinggroup.com,Zenith Marketing Group,Marketing Services,20
