domain,name,industry,numemployees
almarai.com,Almarai,Consumer Goods,38000
apollohospitals.com,Apollo Hospitals,Healthcare,70000
asianpaints.com,asian paints,Consumer Goods,7000
axiata.com,Axiata Ltd,Telecom,20000
axisbank.com,Axis Bank,BFSI,90000
chewy.com,Chewy,Internet,17000
darwinbox.com,Darwinbox,SaaS,1000
emirates.com,Emirates Group,Aviation,100000
godrejcp.com,Godrej Consumer Products,Consumer Goods,5000
havells.com,Havells,Manufacturing,8000
hdfcbank.com,HDFC Bank Ltd,BFSI,150000
majidalfuttaim.com,Majid Al Futtaim,Conglomerate,40000
maybank.com,Maybank,BFSI,44000
ninjavan.co,NV,Logistics,3500
ocbc.com,OCBC Ltd,BFSI,30000
persistent.com,Persistent Systems,IT/ITES,10500
planetfitness.com,PF,Fitness,5000
qatarairways.com,Qatar Airways,Aviation,46000
rediffmail.com,Unknown,Internet,600
sea.com,Sea Limited Ltd,Conglomerate,55000
sunpharma.com,Sun Pharma,Pharma,30000
talabat.com,talabat,Internet,5000
wayfair.com,Wayfair,Internet,17000
